round,client_id,f1_05,precision_05,recall_05,f1_optimal,precision_optimal,recall_optimal,roc_auc,auc_pr,best_threshold,num_examples,imbalance_strategy,imbalance_sampling
1,1677,0.19686800894854586,0.11083123425692695,0.88,0.5909090909086002,0.6842105263157895,0.52,0.9764889769204271,0.5414019398272016,0.9998408555984497,11662,adasyn,0.02
1,2,0.18491484184914841,0.10354223433242507,0.8636363636363636,0.4927536231879437,0.68,0.38636363636363635,0.9919617714255353,0.4500521547488595,0.9998563528060913,17154,adasyn,0.02
1,146,0.35251798561151076,0.22171945701357465,0.8596491228070176,0.5471698113202575,0.5918367346938775,0.5087719298245614,0.9743936011662642,0.5284159916666619,0.9990792274475098,8144,adasyn,0.02
1,4,0.09665427509293681,0.051655629139072845,0.75,0.4943820224714243,0.5945945945945946,0.4230769230769231,0.9722151141509178,0.4379724643515215,0.9998660087585449,22748,adasyn,0.02
1,4870,0.2696629213483146,0.1572052401746725,0.9473684210526315,0.6027397260268981,0.6285714285714286,0.5789473684210527,0.9941546052631579,0.6340867297833086,0.9991983771324158,8038,adasyn,0.02
2,4870,0.3211009174311927,0.19444444444444445,0.9210526315789473,0.6031746031741244,0.76,0.5,0.9944999999999999,0.6424588579168661,0.9911643862724304,8038,adasyn,0.02
2,1677,0.24924012158054712,0.14695340501792115,0.82,0.5684210526310802,0.6,0.54,0.9734981054081984,0.5079397758349643,0.9909653663635254,11662,adasyn,0.02
2,2,0.2571428571428571,0.15254237288135594,0.8181818181818182,0.5333333333328334,0.5217391304347826,0.5454545454545454,0.9881482121035015,0.4616799187816986,0.983316957950592,17154,adasyn,0.02
2,146,0.38493723849372385,0.25274725274725274,0.8070175438596491,0.5294117647053954,0.45569620253164556,0.631578947368421,0.9666065745543531,0.5057832754233608,0.9329217076301575,8144,adasyn,0.02
2,4,0.11826086956521739,0.06500956022944551,0.6538461538461539,0.47619047619000454,0.625,0.38461538461538464,0.9666266166860984,0.4191120426431255,0.995101273059845,22748,adasyn,0.02
3,1677,0.2837370242214533,0.17154811715481172,0.82,0.5585585585580635,0.5081967213114754,0.62,0.9759335170513262,0.4948659380887514,0.9396201968193054,11662,adasyn,0.02
3,2,0.29464285714285715,0.18333333333333332,0.75,0.5393258426961293,0.5333333333333333,0.5454545454545454,0.989245390786887,0.4822384498476744,0.9486319422721863,17154,adasyn,0.02
3,146,0.4166666666666667,0.2830188679245283,0.7894736842105263,0.5350318471332954,0.42,0.7368421052631579,0.9670209281085735,0.52258759634563,0.7809947729110718,8144,adasyn,0.02
3,4,0.13807531380753138,0.07746478873239436,0.6346153846153846,0.4999999999995165,0.6111111111111112,0.4230769230769231,0.9702463666928771,0.4180094059089387,0.9832756519317627,22748,adasyn,0.02
3,4870,0.35602094240837695,0.2222222222222222,0.8947368421052632,0.6129032258059771,0.7916666666666666,0.5,0.9945197368421053,0.6361262000754763,0.9819344282150269,8038,adasyn,0.02
4,1677,0.31417624521072796,0.1943127962085308,0.82,0.5663716814154357,0.5079365079365079,0.64,0.978754736479504,0.488030874599242,0.8945751190185547,11662,adasyn,0.02
4,2,0.32124352331606215,0.2080536912751678,0.7045454545454546,0.5652173913038487,0.5416666666666666,0.5909090909090909,0.9892852398916103,0.5006719965634024,0.9084585309028625,17154,adasyn,0.02
4,146,0.45,0.3146853146853147,0.7894736842105263,0.5477707006364801,0.43,0.7543859649122807,0.967535073618261,0.5366574503900459,0.701780378818512,8144,adasyn,0.02
4,4,0.15503875968992248,0.08955223880597014,0.5769230769230769,0.48888888888840093,0.5789473684210527,0.4230769230769231,0.9732543518342778,0.404521311488441,0.9680439233779907,22748,adasyn,0.02
4,4870,0.375,0.2391304347826087,0.868421052631579,0.6229508196716613,0.8260869565217391,0.5,0.9946282894736843,0.6408216277318565,0.9671216607093811,8038,adasyn,0.02
5,1677,0.3389830508474576,0.21505376344086022,0.8,0.5660377358485581,0.5357142857142857,0.6,0.9812969342059937,0.4971135583338404,0.9036576747894287,11662,adasyn,0.02
5,2,0.36046511627906974,0.2421875,0.7045454545454546,0.5681818181813182,0.5681818181818182,0.5681818181818182,0.9891962435577281,0.5108114654748166,0.8998629450798035,17154,adasyn,0.02
5,146,0.4945054945054945,0.36,0.7894736842105263,0.5490196078426441,0.6222222222222222,0.49122807017543857,0.9713965884167572,0.5408174074351353,0.898840606212616,8144,adasyn,0.02
5,4,0.17751479289940827,0.1048951048951049,0.5769230769230769,0.49462365591348545,0.5609756097560976,0.4423076923076923,0.9762174290284971,0.40609512807746895,0.9515687823295593,22748,adasyn,0.02
5,4870,0.36585365853658536,0.23809523809523808,0.7894736842105263,0.6333333333328688,0.8636363636363636,0.5,0.9948552631578947,0.649170674726955,0.9545667767524719,8038,adasyn,0.02
6,1677,0.375,0.2468354430379747,0.78,0.5535714285709342,0.5,0.62,0.9816138477437134,0.5049175393385709,0.8597041368484497,11662,adasyn,0.02
6,2,0.4217687074829932,0.30097087378640774,0.7045454545454546,0.5813953488367095,0.5952380952380952,0.5681818181818182,0.9893410286382234,0.5112456707677855,0.8751288652420044,17154,adasyn,0.02
6,146,0.5357142857142857,0.40540540540540543,0.7894736842105263,0.5714285714280751,0.625,0.5263157894736842,0.9725854143210134,0.5438431216536136,0.8465951085090637,8144,adasyn,0.02
6,4,0.20134228187919462,0.12195121951219512,0.5769230769230769,0.49999999999950845,0.575,0.4423076923076923,0.9770774585830102,0.4066448108076759,0.9368237853050232,22748,adasyn,0.02
6,4870,0.38666666666666666,0.25892857142857145,0.7631578947368421,0.6333333333328688,0.8636363636363636,0.5,0.9948782894736842,0.6524193341165133,0.9361152052879333,8038,adasyn,0.02
7,1677,0.4222222222222222,0.2923076923076923,0.76,0.560747663550904,0.5263157894736842,0.6,0.9822149500516706,0.4961639359378919,0.8207293152809143,11662,adasyn,0.02
7,2,0.45112781954887216,0.33707865168539325,0.6818181818181818,0.574712643677661,0.5813953488372093,0.5681818181818182,0.9891590510599861,0.5110405049908858,0.8465588092803955,17154,adasyn,0.02
7,146,0.5419354838709678,0.42857142857142855,0.7368421052631579,0.5981308411209973,0.64,0.5614035087719298,0.9728348942096802,0.5620354063128694,0.7847806215286255,8144,adasyn,0.02
7,4,0.232,0.14646464646464646,0.5576923076923077,0.49999999999950845,0.575,0.4423076923076923,0.9782315080935984,0.4035080697049513,0.9098976254463196,22748,adasyn,0.02
7,4870,0.4307692307692308,0.30434782608695654,0.7368421052631579,0.645161290322106,0.8333333333333334,0.5263157894736842,0.9950263157894736,0.6537999348322197,0.8984923958778381,8038,adasyn,0.02
8,1677,0.4634146341463415,0.3333333333333333,0.76,0.5576923076918083,0.5370370370370371,0.58,0.9837185669996555,0.4987573011362237,0.79737389087677,11662,adasyn,0.02
8,2,0.46875,0.35714285714285715,0.6818181818181818,0.577777777777278,0.5652173913043478,0.5909090909090909,0.989153737846023,0.497217234658533,0.7942540645599365,17154,adasyn,0.02
8,146,0.5531914893617021,0.4642857142857143,0.6842105263157895,0.6111111111106127,0.6470588235294118,0.5789473684210527,0.9733360233773503,0.5746540042575117,0.725019633769989,8144,adasyn,0.02
