round,client_id,f1_05,precision_05,recall_05,f1_optimal,precision_optimal,recall_optimal,roc_auc,auc_pr,best_threshold,num_examples,imbalance_strategy,imbalance_sampling
1,m741,0.5058823529411764,0.36134453781512604,0.8431372549019608,0.7378640776694028,0.7307692307692307,0.7450980392156863,0.9890708117921037,0.7262394663193067,0.857369601726532,17084,adasyn,0
1,m1818,0.4788732394366197,0.3617021276595745,0.7083333333333334,0.6406249999995078,0.7321428571428571,0.5694444444444444,0.9927643091684855,0.659556590399177,0.9044266939163208,17025,adasyn,0
1,m2310,0.5401459854014599,0.4327485380116959,0.7184466019417476,0.666666666666177,0.7792207792207793,0.5825242718446602,0.9912702277065497,0.6677881974418279,0.8798749446868896,20860,adasyn,0
1,m544,0.5373134328358209,0.4090909090909091,0.782608695652174,0.6446280991730636,0.75,0.5652173913043478,0.9944339543574396,0.6413135010885881,0.9172712564468384,17707,adasyn,0
2,m1818,0.5,0.38636363636363635,0.7083333333333334,0.6446280991730716,0.7959183673469388,0.5416666666666666,0.9930830007143934,0.6674367613173247,0.9154332280158997,17025,adasyn,0
2,m741,0.5341614906832298,0.39090909090909093,0.8431372549019608,0.7378640776694028,0.7307692307692307,0.7450980392156863,0.9888992877724094,0.7317347526141864,0.8390812277793884,17084,adasyn,0
2,m2310,0.5769230769230769,0.47770700636942676,0.7281553398058253,0.670329670329179,0.7721518987341772,0.5922330097087378,0.9917234611694921,0.6728210063576016,0.8477976322174072,20860,adasyn,0
2,m544,0.5625,0.43902439024390244,0.782608695652174,0.6504065040645479,0.7407407407407407,0.5797101449275363,0.9945079053624339,0.6529414396273076,0.8734838366508484,17707,adasyn,0
3,m1818,0.5204081632653061,0.4112903225806452,0.7083333333333334,0.6406249999995078,0.7321428571428571,0.5694444444444444,0.9931477221337424,0.6689832988102449,0.8571913242340088,17025,adasyn,0
3,m741,0.5641025641025641,0.41904761904761906,0.8627450980392157,0.7378640776694028,0.7307692307692307,0.7450980392156863,0.9887622987902376,0.7419651570665534,0.8251535892486572,17084,adasyn,0
3,m2310,0.5896414342629482,0.5,0.7184466019417476,0.670329670329179,0.7721518987341772,0.5922330097087378,0.9917954920810432,0.6785234531422679,0.8243547677993774,20860,adasyn,0
3,m544,0.572972972972973,0.45689655172413796,0.7681159420289855,0.6557377049175412,0.7547169811320755,0.5797101449275363,0.9944906501279352,0.6574671026517759,0.8655704855918884,17707,adasyn,0
4,m1818,0.5212765957446809,0.4224137931034483,0.6805555555555556,0.6456692913380916,0.7454545454545455,0.5694444444444444,0.9932321057564377,0.6717370099115291,0.8434050679206848,17025,adasyn,0
4,m741,0.5620915032679739,0.4215686274509804,0.8431372549019608,0.7254901960779313,0.7254901960784313,0.7254901960784313,0.9885942282742957,0.7442863651901281,0.7989127039909363,17084,adasyn,0
4,m2310,0.5907172995780591,0.5223880597014925,0.6796116504854369,0.6631016042775799,0.7380952380952381,0.6019417475728155,0.9920611645340371,0.680239117706285,0.7465816140174866,20860,adasyn,0
4,m544,0.5604395604395604,0.45132743362831856,0.7391304347826086,0.6504065040645479,0.7407407407407407,0.5797101449275363,0.9944659997929371,0.6592653165519642,0.8494659662246704,17707,adasyn,0
5,m1818,0.5274725274725275,0.43636363636363634,0.6666666666666666,0.6456692913380916,0.7454545454545455,0.5694444444444444,0.9932116242946184,0.6720047691798181,0.8182569146156311,17025,adasyn,0
5,m741,0.581081081081081,0.44329896907216493,0.8431372549019608,0.7391304347821145,0.8292682926829268,0.6666666666666666,0.9886080422893045,0.7476322993345955,0.8722987174987793,17084,adasyn,0
5,m2310,0.6167400881057269,0.5645161290322581,0.6796116504854369,0.6739130434777679,0.7654320987654321,0.6019417475728155,0.9919400216373375,0.6814060596402356,0.7496587634086609,20860,adasyn,0
5,m544,0.576271186440678,0.4722222222222222,0.7391304347826086,0.6557377049175412,0.7547169811320755,0.5797101449275363,0.9944635347594374,0.6651618231802495,0.8388923406600952,17707,adasyn,0
6,m1818,0.5310734463276836,0.44761904761904764,0.6527777777777778,0.64999999999952,0.8125,0.5416666666666666,0.9932566835106209,0.6750095268357519,0.855327844619751,17025,adasyn,0
6,m741,0.5972222222222222,0.46236559139784944,0.8431372549019608,0.7391304347821145,0.8292682926829268,0.6666666666666666,0.9895692675003425,0.7538766475456065,0.859874963760376,17084,adasyn,0
6,m2310,0.6194690265486725,0.5691056910569106,0.6796116504854369,0.680628272250812,0.7386363636363636,0.6310679611650486,0.9916902521128677,0.6827656969776094,0.6740133166313171,20860,adasyn,0
6,m544,0.5862068965517241,0.4857142857142857,0.7391304347826086,0.6557377049175412,0.7547169811320755,0.5797101449275363,0.9944512095919384,0.6649709991683044,0.8311176896095276,17707,adasyn,0
7,m741,0.6277372262773723,0.5,0.8431372549019608,0.7446808510633334,0.813953488372093,0.6862745098039216,0.9904383992779874,0.7549870309203076,0.8314557075500488,17084,adasyn,0
7,m1818,0.5549132947976878,0.4752475247524752,0.6666666666666666,0.6456692913380916,0.7454545454545455,0.5694444444444444,0.9932558642521481,0.6764822119074684,0.7972028851509094,17025,adasyn,0
7,m2310,0.6216216216216216,0.5798319327731093,0.6699029126213593,0.6844919786091307,0.7619047619047619,0.6213592233009708,0.9913679839436549,0.6841530287175065,0.7015772461891174,20860,adasyn,0
7,m544,0.5930232558139535,0.49514563106796117,0.7391304347826086,0.6611570247928983,0.7692307692307693,0.5797101449275363,0.9943764369091109,0.6660285999094926,0.8142062425613403,17707,adasyn,0
8,m1818,0.5443786982248521,0.4742268041237113,0.6388888888888888,0.6456692913380916,0.7454545454545455,0.5694444444444444,0.9932796227478584,0.6772954059714155,0.7837021946907043,17025,adasyn,0
8,m741,0.6363636363636364,0.5185185185185185,0.8235294117647058,0.7446808510633334,0.813953488372093,0.6862745098039216,0.9903175266466593,0.7525028554367064,0.8195761442184448,17084,adasyn,0
8,m2310,0.6216216216216216,0.5798319327731093,0.6699029126213593,0.684210526315293,0.7471264367816092,0.6310679611650486,0.9912402927822688,0.6830895772599976,0.653288722038269,20860,adasyn,0
8,m544,0.6035502958579881,0.51,0.7391304347826086,0.6666666666661778,0.7843137254901961,0.5797101449275363,0.9944199858342742,0.6666638225672129,0.8056515455245972,17707,adasyn,0
9,m1818,0.5575757575757576,0.4946236559139785,0.6388888888888888,0.6412213740453064,0.711864406779661,0.5833333333333334,0.9932476716674205,0.678927224103002,0.7180290818214417,17025,adasyn,0
9,m741,0.6614173228346457,0.5526315789473685,0.8235294117647058,0.7446808510633334,0.813953488372093,0.6862745098039216,0.9908804477582732,0.7552371582075895,0.8130080103874207,17084,adasyn,0
9,m2310,0.6188340807174888,0.575,0.6699029126213593,0.684210526315293,0.7471264367816092,0.6310679611650486,0.9911336496145177,0.681659170276367,0.6437230706214905,20860,adasyn,0
9,m544,0.6071428571428571,0.5151515151515151,0.7391304347826086,0.6611570247928983,0.7692307692307693,0.5797101449275363,0.9944273809347736,0.6715616323233519,0.7892425656318665,17707,adasyn,0
10,m741,0.65625,0.5454545454545454,0.8235294117647058,0.7526881720425155,0.8333333333333334,0.6862745098039216,0.9909426108258133,0.7568204841063235,0.812701404094696,17084,adasyn,0
10,m1818,0.5609756097560976,0.5,0.6388888888888888,0.6515151515146556,0.7166666666666667,0.5972222222222222,0.9932345635318561,0.6810888869924887,0.7156561613082886,17025,adasyn,0
10,m2310,0.6359447004608295,0.6052631578947368,0.6699029126213593,0.684210526315293,0.7471264367816092,0.6310679611650486,0.9912080191920283,0.6837273623325084,0.6377382278442383,20860,adasyn,0
10,m544,0.6172839506172839,0.5376344086021505,0.7246376811594203,0.6611570247928983,0.7692307692307693,0.5797101449275363,0.9944528529476049,0.6741246796621824,0.783100426197052,17707,adasyn,0
11,m741,0.6829268292682927,0.5833333333333334,0.8235294117647058,0.7454545454540481,0.6949152542372882,0.803921568627451,0.9910335530912887,0.7580632288436627,0.638559877872467,17084,adasyn,0
11,m1818,0.5714285714285714,0.5168539325842697,0.6388888888888888,0.6515151515146556,0.7166666666666667,0.5972222222222222,0.9932091665192001,0.6832940526505487,0.6976804137229919,17025,adasyn,0
11,m2310,0.6330275229357798,0.6,0.6699029126213593,0.6839378238336992,0.7333333333333333,0.6407766990291263,0.9911907130639284,0.6856597000270169,0.5915867686271667,20860,adasyn,0
11,m544,0.6282051282051282,0.5632183908045977,0.7101449275362319,0.6610169491520566,0.7959183673469388,0.5652173913043478,0.9944610697259376,0.6750161127780848,0.8104705810546875,17707,adasyn,0
12,m741,0.6885245901639344,0.5915492957746479,0.8235294117647058,0.7454545454540481,0.6949152542372882,0.803921568627451,0.9912096817826526,0.7614405372925078,0.6233081221580505,17084,adasyn,0
