round,client_id,f1_05,f1_optimal,auc,best_threshold,num_examples,imbalance_strategy,imbalance_sampling
1,m741,0.5370370370370371,0.5591397849457412,0.9954517355583107,0.6507828831672668,17084,adasyn,0.01
1,m1818,0.4939759036144578,0.6065573770486965,0.9899673607424448,0.7566623687744141,17025,adasyn,0.01
1,m2310,0.4742268041237113,0.5232558139530078,0.982971705416023,0.5869227051734924,20860,adasyn,0.01
1,m544,0.5,0.536231884057471,0.9866181548073905,0.5515679121017456,17707,adasyn,0.01
2,m1818,0.5222929936305732,0.615384615384142,0.9899984925644101,0.7575555443763733,17025,adasyn,0.01
2,m741,0.54,0.5789473684205582,0.9954931776033374,0.43462029099464417,17084,adasyn,0.01
2,m2310,0.4945054945054945,0.5357142857138112,0.983519888716919,0.564253568649292,20860,adasyn,0.01
2,m544,0.5285714285714286,0.55944055944006,0.9870750076826877,0.487556129693985,17707,adasyn,0.01
3,m741,0.5773195876288659,0.6019417475723156,0.995595631547987,0.4667431712150574,17084,adasyn,0.01
3,m1818,0.5394736842105263,0.6178861788613031,0.9903089915255904,0.6770584583282471,17025,adasyn,0.01
3,m2310,0.5232558139534884,0.5389221556881499,0.9841050229399744,0.5425582528114319,20860,adasyn,0.01
3,m544,0.5714285714285714,0.5757575757570769,0.9876567555886417,0.504172682762146,17707,adasyn,0.01
4,m1818,0.5405405405405406,0.6229508196716473,0.9901533324157638,0.6754265427589417,17025,adasyn,0.01
4,m741,0.5894736842105263,0.6138613861381138,0.9957234111868195,0.4641561210155487,17084,adasyn,0.01
4,m2310,0.5263157894736842,0.5398773006130316,0.9842575039605308,0.5793733596801758,20860,adasyn,0.01
4,m544,0.5954198473282443,0.5954198473277457,0.9877660387404665,0.5021083354949951,17707,adasyn,0.01
5,m1818,0.5673758865248227,0.6280991735532371,0.9902114997673306,0.655660092830658,17025,adasyn,0.01
5,m741,0.5894736842105263,0.6199999999995001,0.9957372252018285,0.46123558282852173,17084,adasyn,0.01
5,m2310,0.5325443786982249,0.5398773006130316,0.9845474985395031,0.5754384398460388,20860,adasyn,0.01
5,m544,0.5967741935483871,0.6190476190471235,0.987960776386951,0.49728381633758545,17707,adasyn,0.01
6,m1818,0.5777777777777777,0.6333333333328532,0.9898649534333483,0.6361348032951355,17025,adasyn,0.01
6,m741,0.5894736842105263,0.6274509803916568,0.9955921780442347,0.42591145634651184,17084,adasyn,0.01
6,m2310,0.5333333333333333,0.5432098765427467,0.9842303754354012,0.568392813205719,20860,adasyn,0.01
6,m544,0.5853658536585366,0.6141732283459603,0.9876460737768092,0.4764341711997986,17707,adasyn,0.01
7,m741,0.5957446808510638,0.6274509803916568,0.9954713054129066,0.4222666919231415,17084,adasyn,0.01
7,m1818,0.5777777777777777,0.6271186440673208,0.9898928082214227,0.6301894187927246,17025,adasyn,0.01
7,m2310,0.5301204819277109,0.5398773006130316,0.9841550703915067,0.5618221163749695,20860,adasyn,0.01
7,m544,0.5901639344262295,0.6093749999995031,0.987611563307812,0.4701879918575287,17707,adasyn,0.01
8,m1818,0.582089552238806,0.6178861788613031,0.990041913263467,0.593430757522583,17025,adasyn,0.01
8,m741,0.5894736842105263,0.6213592233004709,0.9953078395686343,0.4199913442134857,17084,adasyn,0.01
8,m2310,0.5269461077844312,0.5408805031441978,0.9846747219676973,0.5832177996635437,20860,adasyn,0.01
8,m544,0.5873015873015873,0.5999999999995019,0.9875943080733134,0.4602714776992798,17707,adasyn,0.01
9,m741,0.5934065934065934,0.6213592233004709,0.9952456765010942,0.39997726678848267,17084,adasyn,0.01
9,m1818,0.5909090909090909,0.6050420168062447,0.9901828257207835,0.6183127760887146,17025,adasyn,0.01
9,m2310,0.5269461077844312,0.5365853658531913,0.9849562973492157,0.5637139678001404,20860,adasyn,0.01
9,m544,0.5873015873015873,0.5999999999995019,0.9872303047931755,0.4458352029323578,17707,adasyn,0.01
10,m1818,0.5909090909090909,0.5954198473277492,0.9902246079028949,0.5193300843238831,17025,adasyn,0.01
10,m741,0.6153846153846154,0.6213592233004709,0.9955046892825116,0.4125058352947235,17084,adasyn,0.01
10,m2310,0.5269461077844312,0.5357142857138112,0.9852285180668962,0.47624239325523376,20860,adasyn,0.01
10,m544,0.5826771653543307,0.5999999999995019,0.987118556607851,0.4654754102230072,17707,adasyn,0.01
11,m741,0.6,0.6213592233004709,0.995318200079891,0.3935238718986511,17084,adasyn,0.01
11,m1818,0.5954198473282443,0.6029411764700899,0.9902180538351129,0.4352978467941284,17025,adasyn,0.01
11,m2310,0.5301204819277109,0.5432098765427467,0.9851457292919314,0.5611559152603149,20860,adasyn,0.01
11,m544,0.5826771653543307,0.6015037593979969,0.9868153574873749,0.4010210931301117,17707,adasyn,0.01
12,m1818,0.6046511627906976,0.6046511627902044,0.9902360775215138,0.5404379963874817,17025,adasyn,0.01
12,m741,0.5842696629213483,0.6213592233004709,0.9953527351174134,0.39108210802078247,17084,adasyn,0.01
12,m2310,0.5333333333333333,0.5408163265301135,0.9855231899777873,0.267306387424469,20860,adasyn,0.01
12,m544,0.5826771653543307,0.5999999999995019,0.9867496232607135,0.4387579560279846,17707,adasyn,0.01
13,m741,0.6,0.622641509433463,0.9952779092027816,0.34369951486587524,17084,adasyn,0.01
13,m1818,0.6046511627906976,0.6153846153841213,0.9900566599159768,0.4834621548652649,17025,adasyn,0.01
13,m2310,0.5333333333333333,0.5389221556881499,0.9850470375884426,0.45783987641334534,20860,adasyn,0.01
13,m544,0.56,0.5970149253726348,0.9865162667560652,0.37777048349380493,17707,adasyn,0.01
14,m741,0.6,0.6262626262621267,0.9951869669373061,0.36026906967163086,17084,adasyn,0.01
14,m1818,0.5826771653543307,0.6153846153841213,0.9899239400433879,0.4788842499256134,17025,adasyn,0.01
14,m2310,0.524390243902439,0.5473684210521351,0.9848449768495456,0.24809758365154266,20860,adasyn,0.01
14,m544,0.56,0.6029411764700883,0.9860939243497653,0.3007413148880005,17707,adasyn,0.01
15,m741,0.6,0.6407766990286262,0.9950776059851523,0.3413548767566681,17084,adasyn,0.01
15,m1818,0.5826771653543307,0.6119402985069654,0.9898731460180762,0.4161868095397949,17025,adasyn,0.01
15,m2310,0.5276073619631901,0.5531914893612067,0.9846326259804273,0.24633432924747467,20860,adasyn,0.01
15,m544,0.56,0.6029411764700883,0.985658435098133,0.29572954773902893,17707,adasyn,0.01
16,m1818,0.5826771653543307,0.616541353382962,0.9897977742385813,0.41791194677352905,17025,adasyn,0.01
16,m741,0.6,0.6399999999995002,0.9951178968622616,0.3555169999599457,17084,adasyn,0.01
16,m2310,0.5217391304347826,0.5531914893612067,0.9846602222387488,0.24655744433403015,20860,adasyn,0.01
16,m544,0.5691056910569106,0.6029411764700883,0.9855203932221439,0.2907058596611023,17707,adasyn,0.01
17,m741,0.6,0.6534653465341536,0.9951397690526925,0.3467215597629547,17084,adasyn,0.01
17,m1818,0.59375,0.616541353382962,0.989991938496628,0.41069555282592773,17025,adasyn,0.01
17,m2310,0.5125,0.5543478260864637,0.9846564803732137,0.25313839316368103,20860,adasyn,0.01
17,m544,0.5409836065573771,0.6029411764700883,0.9851333829626745,0.29403820633888245,17707,adasyn,0.01
18,m1818,0.5714285714285714,0.616541353382962,0.9900140584753928,0.40470388531684875,17025,adasyn,0.01
18,m741,0.6,0.6534653465341536,0.995087966496409,0.32943761348724365,17084,adasyn,0.01
18,m2310,0.5125,0.5561497326198259,0.9845783689301679,0.23268043994903564,20860,adasyn,0.01
18,m544,0.5546218487394958,0.6029411764700883,0.9851917220888365,0.29036223888397217,17707,adasyn,0.01
19,m741,0.6,0.6534653465341536,0.9951201991980965,0.3233293890953064,17084,adasyn,0.01
19,m1818,0.5645161290322581,0.616541353382962,0.9899149282001874,0.3906838297843933,17025,adasyn,0.01
19,m2310,0.5031446540880503,0.5621621621616686,0.9844572260334683,0.22476990520954132,20860,adasyn,0.01
19,m544,0.5546218487394958,0.608695652173413,0.9849813725635198,0.2515241205692291,17707,adasyn,0.01
20,m1818,0.5645161290322581,0.6119402985069654,0.9898395564206925,0.366931289434433,17025,adasyn,0.01
20,m741,0.6,0.6470588235289118,0.9950315592684558,0.30587249994277954,17084,adasyn,0.01
20,m2310,0.4968152866242038,0.5513513513508578,0.9841878117149392,0.21955664455890656,20860,adasyn,0.01
20,m544,0.5546218487394958,0.6106870229002648,0.9847685580047033,0.3279709815979004,17707,adasyn,0.01
