round,client_id,f1_05,f1_optimal,auc,best_threshold,num_examples,imbalance_strategy,imbalance_sampling
1,1677,0.5481481481481482,0.6086956521734168,0.9705683775404754,0.9014930129051208,11662,adasyn,0.01
1,2,0.3372093023255814,0.36231884057927577,0.9938924605493863,0.7005200982093811,17154,adasyn,0.01
1,146,0.5528455284552846,0.5648854961827144,0.9749630661295257,0.43911781907081604,8144,adasyn,0.01
1,4,0.226890756302521,0.3424657534241989,0.9665550181665357,0.7982773184776306,22748,adasyn,0.01
1,4870,0.5617977528089888,0.6097560975604782,0.993860197368421,0.6141021847724915,8038,adasyn,0.01
2,1677,0.5467625899280576,0.6213592233004712,0.9729400620048226,0.8559221625328064,11662,adasyn,0.01
2,2,0.34065934065934067,0.3552631578943255,0.9939814568832688,0.6514434218406677,17154,adasyn,0.01
2,146,0.5669291338582677,0.5801526717552336,0.9744163797647948,0.4476475417613983,8144,adasyn,0.01
2,4,0.2153846153846154,0.3356643356638728,0.965969096553781,0.8341383934020996,22748,adasyn,0.01
2,4870,0.5555555555555556,0.594594594594095,0.9937549342105264,0.781205952167511,8038,adasyn,0.01
3,1677,0.5241379310344828,0.6213592233004712,0.9743988976920427,0.8810696601867676,11662,adasyn,0.01
3,2,0.3368421052631579,0.3714285714281404,0.994131555177727,0.7352486848831177,17154,adasyn,0.01
3,146,0.5648854961832062,0.5785123966937165,0.9736614319277853,0.6648536920547485,8144,adasyn,0.01
3,4,0.21292775665399238,0.32894736842060246,0.9672832894986578,0.8296257257461548,22748,adasyn,0.01
3,4870,0.5473684210526316,0.5952380952375997,0.9935246710526315,0.6572384238243103,8038,adasyn,0.01
4,1677,0.5064935064935064,0.6213592233004712,0.974793317258009,0.8888130784034729,11662,adasyn,0.01
4,2,0.3229166666666667,0.37681159420246424,0.9940850645555497,0.7556854486465454,17154,adasyn,0.01
4,146,0.5671641791044776,0.5714285714280817,0.9732449089832285,0.5107402801513672,8144,adasyn,0.01
4,4,0.21245421245421245,0.32394366197136676,0.9673883571486673,0.8783178925514221,22748,adasyn,0.01
4,4870,0.5242718446601942,0.581395348836716,0.9931101973684211,0.6769832968711853,8038,adasyn,0.01
5,1677,0.4875,0.6041666666661675,0.9753806407165002,0.9297109246253967,11662,adasyn,0.01
5,2,0.31155778894472363,0.3612903225802386,0.9938698793900431,0.7100749015808105,17154,adasyn,0.01
5,146,0.5588235294117647,0.5689655172408795,0.97270256139917,0.7811216115951538,8144,adasyn,0.01
5,4,0.21830985915492956,0.30476190476140486,0.9668579349800711,0.9608139395713806,22748,adasyn,0.01
5,4870,0.5192307692307693,0.5681818181813274,0.9927055921052632,0.6910085678100586,8038,adasyn,0.01
6,1677,0.4785276073619632,0.6168224299060442,0.9759438511884257,0.9062485098838806,11662,adasyn,0.01
6,2,0.30845771144278605,0.3724137931030255,0.9937596302003082,0.7357127666473389,17154,adasyn,0.01
6,146,0.5481481481481482,0.5641025641020644,0.9728609268937151,0.7590495347976685,8144,adasyn,0.01
6,4,0.2108843537414966,0.31645569620209,0.965595428540441,0.8662704825401306,22748,adasyn,0.01
6,4870,0.5294117647058824,0.5617977528084994,0.9923240131578948,0.6742185354232788,8038,adasyn,0.01
7,1677,0.47560975609756095,0.6336633663361336,0.976317602480193,0.9176996350288391,11662,adasyn,0.01
7,2,0.30845771144278605,0.38805970149209623,0.9936799319908612,0.7907029390335083,17154,adasyn,0.01
7,146,0.5481481481481482,0.5619834710738817,0.9725658898079872,0.6944235563278198,8144,adasyn,0.01
7,4,0.21305841924398625,0.3170731707312742,0.9635398308071906,0.8447266817092896,22748,adasyn,0.01
7,4870,0.5294117647058824,0.5684210526310989,0.9926957236842106,0.5789762735366821,8038,adasyn,0.01
8,1677,0.4785276073619632,0.6336633663361336,0.9779503961419221,0.9170565605163574,11662,adasyn,0.01
8,2,0.30845771144278605,0.39705882352897404,0.9937157961851123,0.7858864665031433,17154,adasyn,0.01
8,146,0.5333333333333333,0.5666666666661678,0.9746658596534615,0.6800775527954102,8144,adasyn,0.01
8,4,0.22695035460992907,0.32394366197136676,0.9631060030910223,0.9083731174468994,22748,adasyn,0.01
8,4870,0.54,0.5624999999995216,0.9930246710526316,0.5608502626419067,8038,adasyn,0.01
9,1677,0.4779874213836478,0.6399999999995,0.9777506028246642,0.9167066216468811,11662,adasyn,0.01
9,2,0.31313131313131315,0.4090909090904647,0.9937782264491791,0.7921497821807861,17154,adasyn,0.01
9,146,0.5333333333333333,0.5619834710738817,0.9758329916543554,0.6659772396087646,8144,adasyn,0.01
9,4,0.2222222222222222,0.32857142857096167,0.9618697635638948,0.9083166718482971,22748,adasyn,0.01
9,4870,0.5454545454545454,0.5747126436776689,0.9931825657894737,0.7039204239845276,8038,adasyn,0.01
10,1677,0.475,0.63265306122399,0.9783982087495694,0.9333867430686951,11662,adasyn,0.01
10,2,0.3024390243902439,0.40601503759354224,0.9937025131502045,0.7970061898231506,17154,adasyn,0.01
10,146,0.5333333333333333,0.5619834710738817,0.9771519809787856,0.6464313864707947,8144,adasyn,0.01
10,4,0.21843003412969283,0.33599999999951413,0.9615960792820152,0.9345889687538147,22748,adasyn,0.01
10,4870,0.5510204081632653,0.5744680851059012,0.9931496710526315,0.5617385506629944,8038,adasyn,0.01
