round,client_id,f1_05,precision_05,recall_05,f1_optimal,precision_optimal,recall_optimal,roc_auc,auc_pr,best_threshold,num_examples,imbalance_strategy,imbalance_sampling
1,1677,0.5323741007194245,0.4157303370786517,0.74,0.6206896551719249,0.7297297297297297,0.54,0.975492593868412,0.6260849666973558,0.952364444732666,11662,adasyn,0
1,2,0.32978723404255317,0.2152777777777778,0.7045454545454546,0.3809523809518821,0.4,0.36363636363636365,0.9928152064183624,0.4205441979795342,0.9724799394607544,17154,adasyn,0
1,146,0.5151515151515151,0.4533333333333333,0.5964912280701754,0.5940594059401022,0.6818181818181818,0.5263157894736842,0.9764230658258108,0.6392202502192142,0.866886556148529,8144,adasyn,0
1,4,0.2510822510822511,0.16201117318435754,0.5576923076923077,0.5316455696198031,0.7777777777777778,0.40384615384615385,0.9719147392966567,0.4403125768300978,0.9865655303001404,22748,adasyn,0
1,4870,0.5531914893617021,0.4642857142857143,0.6842105263157895,0.6024096385537204,0.5555555555555556,0.6578947368421053,0.9948930921052632,0.6039708897723244,0.7182627320289612,8038,adasyn,0
2,1677,0.5401459854014599,0.42528735632183906,0.74,0.6236559139779975,0.6744186046511628,0.58,0.9769652084050982,0.6374608890167305,0.9189334511756897,11662,adasyn,0
2,2,0.34065934065934067,0.2246376811594203,0.7045454545454546,0.39560439560389615,0.3829787234042553,0.4090909090909091,0.992836459274215,0.42838152249113737,0.9425562024116516,17154,adasyn,0
2,146,0.5151515151515151,0.4533333333333333,0.5964912280701754,0.602150537633934,0.7777777777777778,0.49122807017543857,0.9764816393648893,0.6446159319345462,0.9118515849113464,8144,adasyn,0
2,4,0.26126126126126126,0.17058823529411765,0.5576923076923077,0.5454545454541069,0.84,0.40384615384615385,0.9728417071120632,0.44970260776164933,0.9860731363296509,22748,adasyn,0
2,4870,0.5684210526315789,0.47368421052631576,0.7105263157894737,0.6046511627902044,0.5416666666666666,0.6842105263157895,0.9949259868421053,0.6127944321036095,0.6650906801223755,8038,adasyn,0
3,1677,0.5285714285714286,0.4111111111111111,0.74,0.629213483145575,0.717948717948718,0.56,0.9781260764726145,0.6358202942892794,0.9446936845779419,11662,adasyn,0
3,2,0.3657142857142857,0.24427480916030533,0.7272727272727273,0.43010752688122184,0.40816326530612246,0.45454545454545453,0.9927873120450561,0.45105891668247977,0.9234920144081116,17154,adasyn,0
3,146,0.5151515151515151,0.4533333333333333,0.5964912280701754,0.6105263157889936,0.7631578947368421,0.5087719298245614,0.9760672858106687,0.6500331564792852,0.8943362236022949,8144,adasyn,0
3,4,0.25892857142857145,0.1686046511627907,0.5576923076923077,0.5454545454541069,0.84,0.40384615384615385,0.9740372752908002,0.4628921913996861,0.9858995079994202,22748,adasyn,0
3,4870,0.5894736842105263,0.49122807017543857,0.7368421052631579,0.6052631578942368,0.6052631578947368,0.6052631578947368,0.9949588815789473,0.6236838560287782,0.7981481552124023,8038,adasyn,0
4,1677,0.5467625899280576,0.42696629213483145,0.76,0.6352941176465744,0.7714285714285715,0.54,0.9788511884257665,0.6377486824073014,0.9563780426979065,11662,adasyn,0
4,2,0.36904761904761907,0.25,0.7045454545454546,0.4347826086951901,0.6,0.3409090909090909,0.9929413952499866,0.4652153773826236,0.9769510626792908,17154,adasyn,0
4,146,0.5074626865671642,0.44155844155844154,0.5964912280701754,0.6170212765952673,0.7837837837837838,0.5087719298245614,0.9760542694686513,0.6580054232335608,0.9038594961166382,8144,adasyn,0
4,4,0.27102803738317754,0.17901234567901234,0.5576923076923077,0.538461538461094,0.8076923076923077,0.40384615384615385,0.9750057617743553,0.4766782541335985,0.9864349365234375,22748,adasyn,0
4,4870,0.6021505376344086,0.509090909090909,0.7368421052631579,0.6133333333328334,0.6216216216216216,0.6052631578947368,0.994952302631579,0.6327548569089105,0.8054186105728149,8038,adasyn,0
5,1677,0.5467625899280576,0.42696629213483145,0.76,0.6304347826081994,0.6904761904761905,0.58,0.9782311401997933,0.6240151583387741,0.9208100438117981,11662,adasyn,0
5,2,0.36585365853658536,0.25,0.6818181818181818,0.4477611940293999,0.6521739130434783,0.3409090909090909,0.9928935763243185,0.46797725464609763,0.9785277247428894,17154,adasyn,0
5,146,0.5074626865671642,0.44155844155844154,0.5964912280701754,0.6236559139780201,0.8055555555555556,0.5087719298245614,0.9744858002555543,0.6598542400578725,0.9045749306678772,8144,adasyn,0
5,4,0.27751196172248804,0.18471337579617833,0.5576923076923077,0.533333333332908,0.8695652173913043,0.38461538461538464,0.9745066904368103,0.4797581819745146,0.9895516037940979,22748,adasyn,0
5,4870,0.5957446808510638,0.5,0.7368421052631579,0.6233766233761234,0.6153846153846154,0.631578947368421,0.99475,0.6290120459908066,0.7932450771331787,8038,adasyn,0
6,1677,0.5507246376811594,0.4318181818181818,0.76,0.6451612903220835,0.6976744186046512,0.6,0.9782707543920083,0.6120438939535476,0.9056258201599121,11662,adasyn,0
6,2,0.3708609271523179,0.2616822429906542,0.6363636363636364,0.4477611940293999,0.6521739130434783,0.3409090909090909,0.9930303915838692,0.4765507316984464,0.9785046577453613,17154,adasyn,0
