round,client_id,f1_05,f1_optimal,auc,best_threshold,num_examples,imbalance_strategy,imbalance_sampling
1,m1818,0.46846846846846846,0.655737704917549,0.9916251302620972,0.9434319138526917,17025,adasyn,0.01
1,m741,0.5093167701863354,0.7070707070702075,0.9954695786610305,0.911227285861969,17084,adasyn,0.01
1,m2310,0.46853146853146854,0.5917159763308849,0.9840189600326665,0.938662052154541,20860,adasyn,0.01
1,m544,0.39826839826839827,0.5762711864401923,0.9892269819280177,0.9477221369743347,17707,adasyn,0.01
2,m1818,0.48372093023255813,0.6611570247929065,0.9907182111327395,0.921065628528595,17025,adasyn,0.01
2,m741,0.5333333333333333,0.7199999999995003,0.9956002362196567,0.8902065753936768,17084,adasyn,0.01
2,m2310,0.4962962962962963,0.6137566137561177,0.983944122721964,0.849871039390564,20860,adasyn,0.01
2,m544,0.4166666666666667,0.6141732283459603,0.9891275589101922,0.9124663472175598,17707,adasyn,0.01
3,m741,0.5633802816901409,0.7272727272722276,0.995691178485132,0.8635087013244629,17084,adasyn,0.01
3,m1818,0.507177033492823,0.6562499999995077,0.9914350622964143,0.8783689737319946,17025,adasyn,0.01
3,m2310,0.5134099616858238,0.6210526315784508,0.9844184041785412,0.8203322887420654,20860,adasyn,0.01
3,m544,0.4433497536945813,0.634146341462922,0.989628782388486,0.9133803248405457,17707,adasyn,0.01
4,m1818,0.5279187817258884,0.6614173228341546,0.9918922085242204,0.8596163988113403,17025,adasyn,0.01
4,m741,0.5571428571428572,0.7216494845355839,0.9958097487806254,0.8698490262031555,17084,adasyn,0.01
4,m2310,0.5182186234817814,0.6222222222217326,0.985169115951526,0.841405987739563,20860,adasyn,0.01
4,m544,0.4864864864864865,0.6280991735532289,0.9900314045267875,0.9036767482757568,17707,adasyn,0.01
5,m1818,0.5434782608695652,0.6612903225801581,0.9921502749431435,0.8676522970199585,17025,adasyn,0.01
5,m741,0.5777777777777777,0.7199999999995003,0.9959559471061366,0.8116905093193054,17084,adasyn,0.01
5,m2310,0.5355648535564853,0.6263736263731349,0.9852874524490743,0.8133547306060791,20860,adasyn,0.01
5,m544,0.5113636363636364,0.6307692307687326,0.9899944290242905,0.8159188032150269,17707,adasyn,0.01
6,m741,0.5909090909090909,0.7326732673262327,0.9960480405395294,0.7843878269195557,17084,adasyn,0.01
6,m1818,0.5524861878453039,0.6562499999995077,0.9924312805993039,0.8237178921699524,17025,adasyn,0.01
6,m2310,0.5431034482758621,0.629834254143156,0.9863473358618989,0.7933394312858582,20860,adasyn,0.01
6,m544,0.5207100591715976,0.6363636363631688,0.9902097086166067,0.9248831868171692,17707,adasyn,0.01
7,m741,0.6153846153846154,0.7216494845355839,0.99613668046917,0.8296657204627991,17084,adasyn,0.01
7,m1818,0.5581395348837209,0.6559999999995115,0.9927090092215735,0.8228409886360168,17025,adasyn,0.01
7,m2310,0.5526315789473685,0.629834254143156,0.9866747490962225,0.7683240175247192,20860,adasyn,0.01
7,m544,0.5238095238095238,0.6363636363631688,0.9905383797499141,0.9235242605209351,17707,adasyn,0.01
8,m1818,0.5421686746987951,0.650793650793161,0.9926688655564077,0.8106389045715332,17025,adasyn,0.01
8,m741,0.6290322580645161,0.7272727272722276,0.9960146566699245,0.7833732962608337,17084,adasyn,0.01
8,m2310,0.5575221238938053,0.6349206349201388,0.9865189939433229,0.7202788591384888,20860,adasyn,0.01
8,m544,0.5333333333333333,0.6399999999995054,0.9904389567320886,0.7848501801490784,17707,adasyn,0.01
