round,client_id,f1_05,precision_05,recall_05,f1_optimal,precision_optimal,recall_optimal,roc_auc,auc_pr,best_threshold,num_examples,imbalance_strategy,imbalance_sampling
1,m741,0.4631578947368421,0.31654676258992803,0.8627450980392157,0.7272727272722276,0.75,0.7058823529411765,0.9925588505818579,0.7506322688191507,0.9377047419548035,17084,adasyn,0.03
1,m1818,0.48034934497816595,0.3503184713375796,0.7638888888888888,0.6969696969692011,0.7666666666666667,0.6388888888888888,0.9926758292534261,0.6970041583874144,0.9460510015487671,17025,adasyn,0.03
1,m2310,0.5285714285714286,0.4180790960451977,0.7184466019417476,0.659340659340168,0.759493670886076,0.5825242718446602,0.9927665061874086,0.6669857408611158,0.9235417246818542,20860,adasyn,0.03
1,m544,0.43089430894308944,0.2994350282485876,0.7681159420289855,0.624999999999501,0.6,0.6521739130434783,0.9938727483973174,0.6283008490577441,0.889736533164978,17707,adasyn,0.03
2,m1818,0.4930232558139535,0.3706293706293706,0.7361111111111112,0.7022900763353827,0.7796610169491526,0.6388888888888888,0.9931591917523612,0.7032074393190213,0.9235602021217346,17025,adasyn,0.03
2,m741,0.4971751412429379,0.3492063492063492,0.8627450980392157,0.7333333333328422,0.8461538461538461,0.6470588235294118,0.9932990515527528,0.7587466614743721,0.9560935497283936,17084,adasyn,0.03
2,m2310,0.5593869731800766,0.4620253164556962,0.7087378640776699,0.67045454545406,0.8082191780821918,0.5728155339805825,0.9928796976198462,0.671417963475568,0.916459321975708,20860,adasyn,0.03
2,m544,0.452991452991453,0.3212121212121212,0.7681159420289855,0.634146341462922,0.7222222222222222,0.5652173913043478,0.9940732377886349,0.6401221469077187,0.9185969233512878,17707,adasyn,0.03
3,m741,0.5398773006134969,0.39285714285714285,0.8627450980392157,0.7415730337073758,0.868421052631579,0.6470588235294118,0.993369272795715,0.7637592921293838,0.944890022277832,17084,adasyn,0.03
3,m1818,0.4975124378109453,0.3875968992248062,0.6944444444444444,0.7022900763353827,0.7796610169491526,0.6388888888888888,0.993349259718044,0.7057563992785846,0.8968801498413086,17025,adasyn,0.03
3,m2310,0.5703125,0.477124183006536,0.7087378640776699,0.6779661016944286,0.8108108108108109,0.5825242718446602,0.9928778266870786,0.6728283200128853,0.890511155128479,20860,adasyn,0.03
3,m544,0.4818181818181818,0.3509933774834437,0.7681159420289855,0.6351351351346374,0.5949367088607594,0.6811594202898551,0.9941069265797989,0.6443494118489564,0.7808109521865845,17707,adasyn,0.03
4,m741,0.5751633986928104,0.43137254901960786,0.8627450980392157,0.7555555555550644,0.8717948717948718,0.6666666666666666,0.9938723331756233,0.7705275141544248,0.9280213713645935,17084,adasyn,0.03
4,m1818,0.5128205128205128,0.4065040650406504,0.6944444444444444,0.7031249999995078,0.8035714285714286,0.625,0.9934868951414696,0.7116194267827055,0.8930196762084961,17025,adasyn,0.03
4,m2310,0.570281124497992,0.4863013698630137,0.6893203883495146,0.6779661016944286,0.8108108108108109,0.5825242718446602,0.9927889573806195,0.6763635060548353,0.8553307056427002,20860,adasyn,0.03
4,m544,0.5023696682464455,0.3732394366197183,0.7681159420289855,0.6349206349201395,0.7017543859649122,0.5797101449275363,0.994116786713798,0.6521844888871923,0.8453454375267029,17707,adasyn,0.03
5,m741,0.624113475177305,0.4888888888888889,0.8627450980392157,0.7555555555550644,0.8717948717948718,0.6666666666666666,0.9938838448547974,0.775947746093621,0.9174639582633972,17084,adasyn,0.03
5,m1818,0.5347593582887701,0.43478260869565216,0.6944444444444444,0.7086614173223434,0.8181818181818182,0.625,0.9935573513701279,0.7156647406657947,0.8804646730422974,17025,adasyn,0.03
5,m2310,0.5809128630705395,0.5072463768115942,0.6796116504854369,0.6742857142852299,0.8194444444444444,0.5728155339805825,0.9927908283133868,0.6766625786574783,0.8484554886817932,20860,adasyn,0.03
5,m544,0.5279187817258884,0.40625,0.7536231884057971,0.6423357664228575,0.6470588235294118,0.6376811594202898,0.9940732377886349,0.6553674326839657,0.7555747628211975,17707,adasyn,0.03
6,m1818,0.5414364640883977,0.44954128440366975,0.6805555555555556,0.7086614173223434,0.8181818181818182,0.625,0.9936695897808976,0.7153186474199024,0.8659984469413757,17025,adasyn,0.03
6,m741,0.6376811594202898,0.5057471264367817,0.8627450980392157,0.7555555555550644,0.8717948717948718,0.6666666666666666,0.994005868654043,0.7813615446913362,0.8957251906394958,17084,adasyn,0.03
6,m2310,0.5872340425531914,0.5227272727272727,0.6699029126213593,0.67045454545406,0.8082191780821918,0.5728155339805825,0.9928347952334247,0.6791726706711538,0.8122600317001343,20860,adasyn,0.03
6,m544,0.5502645502645502,0.43333333333333335,0.7536231884057971,0.6615384615379634,0.7049180327868853,0.6231884057971014,0.9940715944329683,0.6608084976448187,0.7659129500389099,17707,adasyn,0.03
7,m741,0.6370370370370371,0.5119047619047619,0.8431372549019608,0.7499999999995125,0.8918918918918919,0.6470588235294118,0.993941403250668,0.78228313368884,0.9111732244491577,17084,adasyn,0.03
7,m1818,0.5517241379310345,0.47058823529411764,0.6666666666666666,0.7199999999995115,0.8490566037735849,0.625,0.9936892519842441,0.7167954760685514,0.8542893528938293,17025,adasyn,0.03
7,m2310,0.5991189427312775,0.5483870967741935,0.6601941747572816,0.670520231213391,0.8285714285714286,0.5631067961165048,0.9928347952334247,0.6807526618458302,0.823660135269165,20860,adasyn,0.03
7,m544,0.574585635359116,0.4642857142857143,0.7536231884057971,0.6717557251903411,0.7096774193548387,0.6376811594202898,0.9940329755748047,0.6643508508431947,0.7326611876487732,17707,adasyn,0.03
8,m1818,0.5614035087719298,0.48484848484848486,0.6666666666666666,0.7199999999995115,0.8490566037735849,0.625,0.9937556119205385,0.7183387712924769,0.8384953141212463,17025,adasyn,0.03
8,m741,0.6564885496183206,0.5375,0.8431372549019608,0.7499999999995125,0.8918918918918919,0.6470588235294118,0.9940473106990698,0.7858809287039685,0.909082293510437,17084,adasyn,0.03
8,m2310,0.6126126126126126,0.5714285714285714,0.6601941747572816,0.6666666666661835,0.8169014084507042,0.5631067961165048,0.9927861509814679,0.6815574985678355,0.8060775995254517,20860,adasyn,0.03
8,m544,0.5842696629213483,0.47706422018348627,0.7536231884057971,0.6666666666661676,0.6984126984126984,0.6376811594202898,0.993954094502811,0.6683008832306895,0.7187231183052063,17707,adasyn,0.03
9,m1818,0.5783132530120482,0.5106382978723404,0.6666666666666666,0.7199999999995115,0.8490566037735849,0.625,0.993846549611016,0.7194796031641555,0.8231292366981506,17025,adasyn,0.03
9,m741,0.656,0.5540540540540541,0.803921568627451,0.7499999999995125,0.8918918918918919,0.6470588235294118,0.9942130788791769,0.786500398987935,0.8996282815933228,17084,adasyn,0.03
