round,client_id,f1_05,f1_optimal,auc,best_threshold,num_examples,imbalance_strategy,imbalance_sampling
1,m1818,0.5024630541871922,0.7049180327864015,0.9928765475792551,0.9617629647254944,17025,adasyn,0.01
1,m741,0.48554913294797686,0.7291666666661686,0.9880267024910122,0.9408799409866333,17084,adasyn,0.01
1,m2310,0.5655737704918032,0.6781609195397467,0.9919917061550414,0.9470726847648621,20860,adasyn,0.01
1,m544,0.5666666666666667,0.6666666666661676,0.994269618790786,0.8453654050827026,17707,adasyn,0.01
2,m741,0.5454545454545454,0.7391304347821145,0.9874361533493806,0.9388716816902161,17084,adasyn,0.01
2,m1818,0.5747126436781609,0.7107438016524106,0.9933009234681505,0.9449313282966614,17025,adasyn,0.01
2,m2310,0.6026200873362445,0.6892655367226772,0.9923495220468379,0.8869966864585876,20860,adasyn,0.01
2,m544,0.5862068965517241,0.6865671641786049,0.9944421711357724,0.7824874520301819,17707,adasyn,0.01
3,m1818,0.5903614457831325,0.7107438016524106,0.9935319543574721,0.9225699305534363,17025,adasyn,0.01
3,m741,0.5793103448275863,0.7472527472522545,0.987843666792144,0.9166682362556458,17084,adasyn,0.01
3,m2310,0.6133333333333333,0.6966292134826584,0.9924430686852159,0.8593493103981018,20860,adasyn,0.01
3,m544,0.6172839506172839,0.696969696969198,0.9944586046924377,0.7517154812812805,17707,adasyn,0.01
4,m741,0.6176470588235294,0.7472527472522545,0.9883041339591081,0.8886690139770508,17084,adasyn,0.01
4,m1818,0.6282051282051282,0.7213114754093524,0.993825248890724,0.8852971196174622,17025,adasyn,0.01
4,m2310,0.6181818181818182,0.6971428571423728,0.9927138862033208,0.86270672082901,20860,adasyn,0.01
4,m544,0.6493506493506493,0.696969696969198,0.994590894823594,0.708118200302124,17707,adasyn,0.01
5,m1818,0.6447368421052632,0.7213114754093524,0.9939055362210556,0.869121789932251,17025,adasyn,0.01
5,m741,0.6363636363636364,0.7472527472522545,0.9891456377067354,0.8716567158699036,17084,adasyn,0.01
5,m2310,0.6384976525821596,0.6971428571423728,0.9929112696102987,0.8372659087181091,20860,adasyn,0.01
5,m544,0.6442953020134228,0.696969696969198,0.9946311570374241,0.6612371802330017,17707,adasyn,0.01
6,m1818,0.6577181208053692,0.7213114754093524,0.9939440413692758,0.845724880695343,17025,adasyn,0.01
6,m741,0.6511627906976745,0.7391304347821145,0.989052393105425,0.8486341238021851,17084,adasyn,0.01
6,m2310,0.6507177033492823,0.6971428571423728,0.9929725426584364,0.8094229102134705,20860,adasyn,0.01
6,m544,0.6620689655172414,0.7067669172927338,0.9946779926739204,0.6271244883537292,17707,adasyn,0.01
7,m1818,0.676056338028169,0.7213114754093524,0.9939694383819317,0.8232318162918091,17025,adasyn,0.01
7,m741,0.6721311475409836,0.7311827956984293,0.9892803243530723,0.8331179618835449,17084,adasyn,0.01
7,m2310,0.6666666666666666,0.7005649717509257,0.9930829276917228,0.7640954256057739,20860,adasyn,0.01
7,m544,0.6666666666666666,0.7067669172927338,0.9946747059625874,0.6083464026451111,17707,adasyn,0.01
8,m741,0.6779661016949152,0.7446808510633334,0.9891962890951015,0.7800491452217102,17084,adasyn,0.01
8,m1818,0.6811594202898551,0.7272727272722452,0.993965342089568,0.8139652013778687,17025,adasyn,0.01
8,m2310,0.66,0.7005649717509257,0.9930113645133634,0.7468039393424988,20860,adasyn,0.01
8,m544,0.6619718309859155,0.7067669172927338,0.9946911395192527,0.5945915579795837,17707,adasyn,0.01
9,m1818,0.6764705882352942,0.7272727272722452,0.9940292442504441,0.8022652864456177,17025,adasyn,0.01
9,m741,0.6896551724137931,0.7446808510633334,0.9891421842029832,0.7602006793022156,17084,adasyn,0.01
9,m2310,0.6666666666666666,0.7005649717509257,0.9930894759564092,0.7183929085731506,20860,adasyn,0.01
9,m544,0.6714285714285714,0.7014925373129333,0.9947519436789145,0.5614561438560486,17707,adasyn,0.01
10,m741,0.6896551724137931,0.7446808510633334,0.9891951379271839,0.7437745928764343,17084,adasyn,0.01
10,m1818,0.6814814814814815,0.7272727272722452,0.994130013042595,0.7935712337493896,17025,adasyn,0.01
10,m2310,0.673469387755102,0.6966292134826584,0.9931063143513172,0.7002323269844055,20860,adasyn,0.01
10,m544,0.6811594202898551,0.6962962962957965,0.9947248283104168,0.5187575221061707,17707,adasyn,0.01
11,m741,0.6902654867256637,0.757894736841608,0.9892434869797152,0.727738618850708,17084,adasyn,0.01
11,m1818,0.6814814814814815,0.7213114754093524,0.9941889996526343,0.7735339403152466,17025,adasyn,0.01
11,m2310,0.6839378238341969,0.7005649717509257,0.9931100562168523,0.6899990439414978,20860,adasyn,0.01
11,m544,0.6911764705882353,0.6917293233077714,0.994722363276917,0.5428473353385925,17707,adasyn,0.01
12,m741,0.6785714285714286,0.757894736841608,0.9892469404834675,0.7126781344413757,17084,adasyn,0.01
12,m1818,0.6666666666666666,0.7213114754093524,0.9942217699915452,0.7594594359397888,17025,adasyn,0.01
12,m2310,0.6910994764397905,0.7005649717509257,0.9932040705884223,0.6786546111106873,20860,adasyn,0.01
12,m544,0.6962962962962963,0.6962962962957965,0.9947971359597444,0.5075129866600037,17707,adasyn,0.01
13,m1818,0.6666666666666666,0.7213114754093524,0.9942627329151839,0.7471501231193542,17025,adasyn,0.01
13,m741,0.6972477064220184,0.7526881720425155,0.9892008937667711,0.7433891296386719,17084,adasyn,0.01
13,m2310,0.7015706806282722,0.7015706806277754,0.9933102460229817,0.5080582499504089,20860,adasyn,0.01
13,m544,0.6865671641791045,0.6911764705877355,0.9948382198514077,0.49554041028022766,17707,adasyn,0.01
14,m1818,0.6666666666666666,0.7166666666661866,0.9942168544407086,0.7391926646232605,17025,adasyn,0.01
14,m741,0.6972477064220184,0.7526881720425155,0.9890385790904161,0.7400974035263062,17084,adasyn,0.01
14,m2310,0.6947368421052632,0.6961325966845924,0.9934299857201057,0.6471534967422485,20860,adasyn,0.01
14,m544,0.6962962962962963,0.6962962962957965,0.9948086394494102,0.5000021457672119,17707,adasyn,0.01
