round,client_id,f1_05,f1_optimal,auc,best_threshold,num_examples,imbalance_strategy,imbalance_sampling
1,m741,0.5371428571428571,0.7428571428566431,0.9895462441419943,0.8695186376571655,17084,resample,1
1,m1818,0.4864864864864865,0.655737704917549,0.9940120398225158,0.9260208606719971,17025,resample,1
1,m2310,0.5403508771929825,0.6881720430102584,0.9948766844826239,0.8543555736541748,20860,resample,1
1,m544,0.514018691588785,0.6557377049175412,0.995599504363931,0.9128807187080383,17707,resample,1
2,m741,0.5222222222222223,0.7454545454540481,0.9966604618715919,0.8386894464492798,17084,resample,1
2,m1818,0.43724696356275305,0.6612903225801581,0.9945101489739607,0.8957552313804626,17025,resample,1
2,m2310,0.4597014925373134,0.65608465608416,0.9929079954779555,0.8785545229911804,20860,resample,1
2,m544,0.4163568773234201,0.6917293233077714,0.9939269791343132,0.8657966256141663,17707,resample,1
3,m741,0.519774011299435,0.7526881720425155,0.9966880899016097,0.94063800573349,17084,resample,1
3,m1818,0.453781512605042,0.6721311475404997,0.9947116865582625,0.9095532894134521,17025,resample,1
3,m2310,0.47678018575851394,0.67403314917078,0.992970203992477,0.8928443193435669,20860,resample,1
3,m544,0.44715447154471544,0.696969696969198,0.9942005978527915,0.8578729033470154,17707,resample,1
4,m741,0.5,0.7647058823524412,0.996787090342507,0.8998745679855347,17084,resample,1
4,m1818,0.4686192468619247,0.6935483870962872,0.9947600228081559,0.903237521648407,17025,resample,1
4,m2310,0.5063291139240507,0.6810810810805875,0.9931236204794172,0.8747946619987488,20860,resample,1
4,m544,0.4686192468619247,0.7076923076918095,0.9944125907337747,0.8672343492507935,17707,resample,1
5,m1818,0.47863247863247865,0.6829268292678073,0.9949697529771854,0.9023391604423523,17025,resample,1
5,m741,0.5084745762711864,0.7692307692302693,0.9967318342824714,0.8922905325889587,17084,resample,1
5,m2310,0.5079365079365079,0.6892655367226772,0.9933920993315625,0.9104079604148865,20860,resample,1
5,m544,0.47863247863247865,0.7076923076918095,0.9946065067024261,0.8687965869903564,17707,resample,1
6,m741,0.5202312138728323,0.7766990291257136,0.9966811828941052,0.9011004567146301,17084,resample,1
6,m1818,0.49122807017543857,0.6821705426351656,0.9951491705827222,0.8840023875236511,17025,resample,1
6,m2310,0.5298013245033113,0.7017543859644332,0.9935006134320812,0.924677312374115,20860,resample,1
6,m544,0.49557522123893805,0.6976744186041536,0.9947938492484113,0.87162846326828,17707,resample,1
1,m1818,0.43109540636042404,0.642335766422859,0.9911872366084009,0.9787698984146118,17025,resample,1
1,m741,0.4336283185840708,0.6792452830183686,0.9910680881288111,0.9703019857406616,17084,resample,1
1,m2310,0.5029940119760479,0.6739130434777679,0.9931411604741132,0.9777357578277588,20860,resample,1
1,m544,0.4523809523809524,0.6923076923071942,0.9958665496597432,0.9807681441307068,17707,resample,1
2,m741,0.25125628140703515,0.4666666666662178,0.9943903587384582,0.9870469570159912,17084,resample,1
2,m1818,0.27571115973741794,0.5810055865916979,0.9917336820097393,0.9797238111495972,17025,resample,1
2,m2310,0.32432432432432434,0.49275362318793786,0.9903632930474735,0.9792149066925049,20860,resample,1
2,m544,0.2791762013729977,0.5147058823524413,0.9923929066196009,0.9975848197937012,17707,resample,1
3,m1818,0.2711864406779661,0.6172839506167901,0.9928970290410744,0.9842023849487305,17025,resample,1
3,m741,0.236144578313253,0.509803921568183,0.9945607315902348,0.9849507808685303,17084,resample,1
3,m2310,0.30456852791878175,0.5645161290317724,0.9910003456548288,0.9785194993019104,20860,resample,1
3,m544,0.2623655913978495,0.5350318471332652,0.992367023767853,0.9914153218269348,17707,resample,1
4,m741,0.23501199040767387,0.516556291390281,0.9943420096859268,0.9873129725456238,17084,resample,1
4,m1818,0.27061310782241016,0.6235294117642176,0.9927094188508097,0.9822400212287903,17025,resample,1
4,m2310,0.30132450331125826,0.5957446808505713,0.9913006303640227,0.9807634353637695,20860,resample,1
4,m544,0.25357873210633947,0.5764705882348118,0.9925050656438421,0.9863274097442627,17707,resample,1
5,m741,0.22950819672131148,0.5170068027206353,0.9943926610742929,0.9886533617973328,17084,resample,1
5,m1818,0.2689075630252101,0.6303030303025382,0.9923489451227905,0.9831745028495789,17025,resample,1
5,m2310,0.2912,0.6094420600853436,0.9912388895826931,0.9816468358039856,20860,resample,1
5,m544,0.25203252032520324,0.5632183908041191,0.9923242965205231,0.986240804195404,17707,resample,1
6,m1818,0.270042194092827,0.6282051282046311,0.9922408030043848,0.9892326593399048,17025,resample,1
6,m741,0.2273781902552204,0.5100671140935095,0.9944611555653788,0.9886552095413208,17084,resample,1
6,m2310,0.28888888888888886,0.6090909090904112,0.991573786548087,0.9855464696884155,20860,resample,1
6,m544,0.2505050505050505,0.5762711864402023,0.9929101528156434,0.9825811982154846,17707,resample,1
