round,client_id,f1_05,f1_optimal,auc,best_threshold,num_examples,imbalance_strategy,imbalance_sampling
1,1677,0.45121951219512196,0.5957446808505659,0.9809507406131588,0.9574469327926636,11662,adasyn,0.01
1,2,0.3,0.4499999999995356,0.9927375006641518,0.9372591376304626,17154,adasyn,0.01
1,4,0.21843003412969283,0.49462365591348545,0.9739889780645862,0.9881922602653503,22748,adasyn,0.01
1,146,0.5753424657534246,0.583333333332855,0.9833390822177244,0.5304226875305176,8144,adasyn,0.01
1,4870,0.5471698113207547,0.599999999999512,0.9951907894736842,0.7375562787055969,8038,adasyn,0.01
2,1677,0.4431137724550898,0.5894736842100278,0.9837461246985877,0.9576562643051147,11662,adasyn,0.01
2,2,0.32432432432432434,0.47863247863200925,0.9930443387705222,0.9218599200248718,17154,adasyn,0.01
2,146,0.5694444444444444,0.5890410958899349,0.9816621434878157,0.48605412244796753,8144,adasyn,0.01
2,4,0.2191780821917808,0.5106382978718461,0.9790271413464928,0.9840909838676453,22748,adasyn,0.01
2,4870,0.5436893203883495,0.6021505376339252,0.9949769736842106,0.6837524771690369,8038,adasyn,0.01
3,1677,0.4539877300613497,0.5869565217386343,0.9813589390285912,0.9519882202148438,11662,adasyn,0.01
3,2,0.3333333333333333,0.48648648648600795,0.9926059986185644,0.909623920917511,17154,adasyn,0.01
3,146,0.5833333333333334,0.6037735849051632,0.9782822333439635,0.8831448554992676,8144,adasyn,0.01
3,4,0.22695035460992907,0.5306122448974611,0.9790118895908462,0.978801965713501,22748,adasyn,0.01
3,4870,0.5686274509803921,0.599999999999512,0.9945394736842106,0.7389809489250183,8038,adasyn,0.01
4,1677,0.47435897435897434,0.5806451612898255,0.9794281777471581,0.9431717395782471,11662,adasyn,0.01
4,2,0.3473684210526316,0.5142857142852273,0.9926073269220552,0.8965895175933838,17154,adasyn,0.01
4,146,0.5694444444444444,0.6153846153841198,0.9780522779683225,0.8616739511489868,8144,adasyn,0.01
4,4,0.2397003745318352,0.5376344086016575,0.9784272389577289,0.9768794178962708,22748,adasyn,0.01
4,4870,0.5742574257425742,0.6136363636358729,0.9941480263157895,0.7242451310157776,8038,adasyn,0.01
5,1677,0.4713375796178344,0.57894736842056,0.977683430933517,0.8092527389526367,11662,adasyn,0.01
