round,client_id,f1_05,f1_optimal,auc,best_threshold,num_examples,imbalance_strategy,imbalance_sampling
1,1677,0.4550898203592814,0.5961538461533469,0.9752152945229073,0.9457076191902161,11662,adasyn,0.09
1,2,0.28,0.4109589041091101,0.9907908718984114,0.9951773881912231,17154,adasyn,0.09
1,146,0.5578231292517006,0.5637583892612725,0.9764208964354747,0.48049068450927734,8144,adasyn,0.09
1,4,0.17344173441734417,0.45238095238048065,0.9676357745180445,0.9949371814727783,22748,adasyn,0.09
1,4870,0.5225225225225225,0.6027397260268981,0.9940296052631579,0.9183997511863708,8038,adasyn,0.09
2,1677,0.4578313253012048,0.59259259259212,0.9813141577678264,0.9869301319122314,11662,adasyn,0.09
2,2,0.3076923076923077,0.45454545454501,0.9905331810211997,0.9929227828979492,17154,adasyn,0.09
2,146,0.5637583892617449,0.5874125874121078,0.9778353389346992,0.5244408845901489,8144,adasyn,0.09
2,4,0.17971014492753623,0.47619047618997623,0.9703726173368401,0.9835334420204163,22748,adasyn,0.09
2,4870,0.5523809523809524,0.6410256410251414,0.9943585526315789,0.8718094229698181,8038,adasyn,0.09
3,1677,0.4840764331210191,0.5925925925920954,0.9808663451601791,0.9082216620445251,11662,adasyn,0.09
3,2,0.3076923076923077,0.4687499999995703,0.9897946442803252,0.9897569417953491,17154,adasyn,0.09
3,146,0.5571428571428572,0.583333333332855,0.9766606140676286,0.4839763939380646,8144,adasyn,0.09
3,4,0.17846153846153845,0.47058823529364263,0.9701277419267373,0.9901726245880127,22748,adasyn,0.09
3,4870,0.5631067961165048,0.637681159419795,0.9942467105263157,0.9011377096176147,8038,adasyn,0.09
4,1677,0.4720496894409938,0.5742574257420743,0.9770547709266276,0.9293502569198608,11662,adasyn,0.09
4,2,0.328042328042328,0.4687499999995703,0.9903246373731471,0.9868484139442444,17154,adasyn,0.09
4,146,0.5652173913043478,0.583333333332855,0.9748524272223776,0.4652584493160248,8144,adasyn,0.09
4,4,0.19935691318327975,0.47619047619000454,0.9711953648219951,0.9867793321609497,22748,adasyn,0.09
4,4870,0.5631067961165048,0.6399999999995,0.9932335526315789,0.8446335196495056,8038,adasyn,0.09
5,1677,0.4810126582278481,0.5773195876283664,0.9753823630726834,0.9315569400787354,11662,adasyn,0.09
5,2,0.3425414364640884,0.4859813084107307,0.990458796025716,0.8410454988479614,17154,adasyn,0.09
5,146,0.5755395683453237,0.5874125874121078,0.9740909712143596,0.45596039295196533,8144,adasyn,0.09
5,4,0.20066889632107024,0.4835164835159937,0.970918291261083,0.9765914678573608,22748,adasyn,0.09
5,4870,0.5742574257425742,0.6575342465748433,0.9924374999999999,0.8587737083435059,8038,adasyn,0.09
6,1677,0.475,0.5510204081627655,0.9737977953840855,0.9214281439781189,11662,adasyn,0.09
6,2,0.35714285714285715,0.4857142857138187,0.990768290739068,0.955881655216217,17154,adasyn,0.09
6,146,0.5714285714285714,0.5874125874121078,0.975188682724494,0.46774405241012573,8144,adasyn,0.09
6,4,0.21505376344086022,0.4731182795693995,0.9709970919985901,0.9671623110771179,22748,adasyn,0.09
6,4870,0.5918367346938775,0.6575342465748433,0.9921546052631578,0.8463996052742004,8038,adasyn,0.09
7,1677,0.4578313253012048,0.54545454545409,0.9727867723045125,0.9699819684028625,11662,adasyn,0.09
7,2,0.375,0.5151515151510706,0.9907178152064183,0.9571794867515564,17154,adasyn,0.09
