round,client_id,f1_05,f1_optimal,auc,best_threshold,num_examples,imbalance_strategy,imbalance_sampling
1,1677,0.2857142857142857,0.6024096385537377,0.9841904925938684,0.999647855758667,11662,adasyn,0.09
1,146,0.43523316062176165,0.5471698113202575,0.9852763477879811,0.9915673136711121,8144,adasyn,0.09
1,2,0.21764705882352942,0.455696202531152,0.9919378619627013,0.9996700286865234,17154,adasyn,0.09
1,4870,0.3888888888888889,0.5411764705877408,0.9953305921052632,0.9742316603660583,8038,adasyn,0.09
1,4,0.14,0.4810126582273981,0.9779688389685747,0.9997656941413879,22748,adasyn,0.09
2,1677,0.3406113537117904,0.5869565217386343,0.9858181191870479,0.9544261693954468,11662,adasyn,0.09
2,2,0.27586206896551724,0.43902439024340517,0.9873445884915786,0.9767079949378967,17154,adasyn,0.09
2,146,0.47191011235955055,0.5199999999995097,0.9819875520382507,0.9461904168128967,8144,adasyn,0.09
2,4,0.1732283464566929,0.48837209302277773,0.9656572828827852,0.975193440914154,22748,adasyn,0.09
2,4870,0.43312101910828027,0.5882352941171539,0.9958470394736842,0.9338083863258362,8038,adasyn,0.09
3,1677,0.3786407766990291,0.6060606060601061,0.9877884946606958,0.9066190719604492,11662,adasyn,0.09
3,2,0.2956521739130435,0.43181818181768183,0.9879263854205409,0.94748854637146,17154,adasyn,0.09
3,146,0.46706586826347307,0.5106382978718631,0.9843912365307979,0.9362863302230835,8144,adasyn,0.09
3,4,0.20711974110032363,0.5116279069762661,0.9674281811773,0.9594289660453796,22748,adasyn,0.09
3,4870,0.4489795918367347,0.5757575757570872,0.9961266447368421,0.9102257490158081,8038,adasyn,0.09
4,1677,0.40425531914893614,0.624999999999501,0.9890802617981399,0.8930220603942871,11662,adasyn,0.09
4,2,0.30414746543778803,0.4587155963297938,0.9885613144891345,0.8441330194473267,17154,adasyn,0.09
4,146,0.49673202614379086,0.5319148936165439,0.9864499879598836,0.9083054065704346,8144,adasyn,0.09
4,4,0.22939068100358423,0.5116279069762661,0.969621892031127,0.9453010559082031,22748,adasyn,0.09
4,4870,0.49230769230769234,0.5757575757570872,0.9965246710526316,0.8755185008049011,8038,adasyn,0.09
5,1677,0.4431137724550898,0.6336633663361336,0.9894350671718911,0.8172870874404907,11662,adasyn,0.09
5,2,0.32460732984293195,0.4615384615379698,0.9891431114180967,0.9358106851577759,17154,adasyn,0.09
5,146,0.5,0.537634408601676,0.9870769417670552,0.8920249342918396,8144,adasyn,0.09
5,4,0.2570281124497992,0.5176470588230544,0.9711826550256231,0.9374996423721313,22748,adasyn,0.09
5,4870,0.48739495798319327,0.5882352941171539,0.9967055921052632,0.8192971348762512,8038,adasyn,0.09
6,1677,0.4567901234567901,0.6436781609190514,0.9899586634516018,0.8884710669517517,11662,adasyn,0.09
6,2,0.3468208092485549,0.47916666666617014,0.9898683651240635,0.8402252197265625,17154,adasyn,0.09
6,146,0.48175182481751827,0.537634408601676,0.9876908792322093,0.8753202557563782,8144,adasyn,0.09
6,4,0.2683982683982684,0.5238095238090521,0.9725459925164719,0.9196661710739136,22748,adasyn,0.09
